Meaning,Kanji,Kana,Lesson,vocabulary_kanji,lesson_col,index
meat,肉,にく,2,肉,13,267
shopping,買い物,かいもの,4,買物,13,268
sea,海,うみ,5,海,13,269
food,食べ物,たべもの,5,食物,13,270
drink,飲み物,のみもの,5,飲物,13,271
inexpensive; cheap (thing),安い,やすい,5,安,13,272
to put on (clothes above your waist),着る,きる,7,着,13,273
air,空気,くうき,8,空気,13,274
to cook,料理する,りょうりする,8,料理,13,275
thing (concrete object),物,もの,12,物,13,276
bad,悪い,わるい,12,悪,13,277
karate,空手,からて,13,空手,13,278
kimono; Japanese traditional dress,着物,きもの,13,着物,13,279
same,同じ,おなじ,14,同,13,280
to arrive,着く,つく,15,着,13,281
to feel sick,気分が悪い,きぶんがわるい,18,気分悪,13,282
airport,空港,くうこう,20,空港,13,283
trip to a foreign country,海外旅行,かいがいりょこう,23,海外旅行,13,284
body,体,からだ,23,体,13,285
to talk behind someone's back,悪口を言う,わるぐちをいう,23,悪口言,13,286
noon; daytime,昼,ひる,24,昼,13,287
bird,鳥,とり,24,鳥,13,288
English (language),英語,えいご,1,英語,14,289
international student,留学生,りゅうがくせい,1,留学生,14,290
doctor,医者,いしゃ,1,医者,14,291
music,音楽,おんがく,3,音楽,14,292
postal stamps,切手,きって,5,切手,14,293
fun,楽しい,たのしい,5,楽,14,294
to ride; to board,乗る,のる,5,乗,14,295
to hurry,急ぐ,いそぐ,6,急,14,296
Really?,本当ですか,ほんとうですか,6,本当,14,297
family,家族,かぞく,7,家族,14,298
kind,親切,しんせつ,7,親切,14,299
to cut,切る,きる,8,切,14,300
to study abroad,留学する,りゅうがくする,11,留学,14,301
girlfriend,彼女,かのじょ,12,彼女,14,302
boyfriend,彼,かれ,12,彼,14,303
shop; store,店,みせ,13,店,14,304
last year,去年,きょねん,14,去年,14,305
parent,親,おや,16,親,14,306
relatives,親せき,しんせき,16,親,14,307
really,本当に,ほんとうに,18,本当,14,308
in fact; originally,本当は,ほんとうは,19,本当,14,309
sound,音,おと,20,音,14,310
precious; valuable,大切,たいせつ,21,大切,14,311
English conversation,英会話,えいかいわ,22,英会話,14,312
easy; comfortable,楽,らく,22,楽,14,313
fish,魚,さかな,2,魚,15,314
bicycle,自転車,じてんしゃ,2,自転車,15,315
temple,お寺,おてら,4,寺,15,316
to die,死ぬ,しぬ,6,死,15,317
to borrow,借りる,かりる,6,借,15,318
summer,夏,なつ,8,夏,15,319
mean-spirited,意地悪,いじわる,9,意地悪,15,320
leg; foot,足,あし,12,足,15,321
meaning,意味,いみ,12,意味,15,322
spacious; wide,広い,ひろい,15,広,15,323
to be sufficient; to be enough,足りる,たりる,17,足,15,324
to fall down,転ぶ,ころぶ,18,転,15,325
to place an order,注文する,ちゅうもんする,18,注文,15,326
to watch out; to give warning,注意する,ちゅういする,19,注意,15,327
to run,走る,はしる,22,走,15,328
place,場所,ばしょ,23,場所,15,329
to go through; to pass,通,とおる,24,通,15,330
child,子供,こども,4,子供,16,331
bookstore,本屋,ほんや,4,本屋,16,332
last week,先週,せんしゅう,4,先週,16,333
room,部屋,へや,5,部屋,16,334
this week,今週,こんしゅう,6,今週,16,335
next week,来週,らいしゅう,6,来週,16,336
to open (something),開ける,あける,6,開,16,337
to teach; to instruct,教える,おしえる,6,教,16,338
every week,毎週,まいしゅう,8,毎週,16,339
to begin,始める,はじめる,8,始,16,340
to drive,運転する,うんてんする,8,運転,16,341
(something) begins,始まる,はじまる,9,始,16,342
to do physical exercises,運動する,うんどうする,9,運動,16,343
world,世界,せかい,10,世界,16,344
all,全部,ぜんぶ,13,全部,16,345
(something) opens,開く,あく,18,開,16,346
to think (about); to consider,考える,かんがえる,18,考,16,347
department manager,部長,ぶちょう,19,部長,16,348
safe,安全,あんぜん,21,安全,16,349
subordinate,部下,ぶか,22,部下,16,350
to carry from one place to another; transport,運ぶ,はこぶ,22,運,16,351
to be in someone's care,お世話になる,おせわになる,23,世話,16,352
to take care of ...,世話をする,せわをする,23,世話,16,353
...years old,〜歳,〜さい,1,歳,17,354
picture; photograph,写真,しゃしん,4,写真,17,355
to get married,結婚する,けっこんする,7,結婚,17,356
life; living,生活,せいかつ,10,生活,17,357
on foot,歩いて,あるいて,10,歩,17,358
to learn,習う,ならう,11,習,17,359
presentation,発表,はっぴょう,15,発表,17,360
to collect,集める,あつめる,16,集,17,361
letter; character,字,じ,20,字,17,362
to walk,歩く,あるく,20,歩,17,363
to lead a life,生活する,せいかつする,20,生活,17,364
mainly,主に,おもに,24,主,17,365
husband,ご主人,ごしゅじん,24,主人,17,366
realm; field,分野,ぶんや,24,分野,17,367
library,図書館,としょかん,2,図書館,18,368
homework,宿題,しゅくだい,5,宿題,18,369
cafeteria; dining commons,食堂,しょくどう,7,食堂,18,370
eye,目,め,7,目,18,371
exam,試験,しけん,9,試験,18,372
(something) ends,終わる,おわる,9,終,18,373
class,授業,じゅぎょう,11,授業,18,374
clothes,服,ふく,12,服,18,375
to lend; to rent,貸す,かす,13,貸,18,376
movie theater,映画館,えいがかん,15,映画館,18,377
map,地図,ちず,15,地図,18,378
inn,旅館,りょかん,15,旅館,18,379
in class; during the class,授業中に,じゅぎょうちゅうに,16,授業中,18,380
last train,終電,しゅうでん,21,終電,18,381
tuition,授業料,じゅぎょうりょう,23,授業料,18,382
Asian studies,アジア研究,アジアけんきゅう,1,研究,19,383
older sister,お姉さん,おねえさん,1,姉,19,384
older brother,お兄さん,おにいさん,1,兄,19,385
kanji; Chinese character,漢字,かんじ,6,漢字,19,386
(my) older sister,姉,あね,7,姉,19,387
older brother,お兄さん,おにいさん,7,兄,19,388
older sister,お姉さん,おねえさん,7,姉,19,389
winter,冬,ふゆ,8,冬,19,390
fall,秋,あき,10,秋,19,391
spring,春,はる,10,春,19,392
flower,花,はな,12,花,19,393
there are many...,多い,おおい,12,多,19,394
probably; maybe,多分,たぶん,12,多分,19,395
(my) older brother,兄,あに,14,兄,19,396
to graduate (from ...),卒業する,そつぎょうする,15,卒業,19,397
party of ... people,〜名様,〜めいさま,19,名様,19,398
God,神様,かみさま,20,神様,19,399
factory,工場,こうじょう,21,工場,19,400
anxiety; uneasiness; worry,不安,ふあん,,不安,19,401
question,質問,しつもん,24,質問,19,402
green tea,お茶,おちゃ,3,茶,20,403
[counter for flat objects],〜枚,〜まい,5,枚,20,404
to pay,払う,はらう,10,払,20,405
hurt; painful,痛い,いたい,12,痛,20,406
plate; dish,皿,さら,14,皿,20,407
parents,両親,りょうしん,14,両親,20,408
recently,最近,さいきん,15,最近,20,409
to laugh,笑う,わらう,16,笑,20,410
definitely,絶対に,ぜったいに,22,絶対,20,411
(something) stops,止まる,とまる,24,止,20,412
younger sister,妹,いもうと,1,妹,21,413
younger brother,弟,おとうと,1,弟,21,414
watch; clock,時計,とけい,2,時計,21,415
dog,犬,いぬ,4,犬,21,416
(do something) late,遅く,おそく,6,遅,21,417
younger sister,妹,いもうと,7,妹,21,418
younger brother,弟,おとうと,7,弟,21,419
brothers and sisters,兄弟,きょうだい,7,兄弟,21,420
to be late (for ...),遅くなる,おそくなる,8,遅,21,421
young,若い,わかい,9,若,21,422
slow; late,遅い,おそい,10,遅,21,423
cold,風,かぜ,12,風,21,424
to worry,心配する,しんぱいする,12,心配,21,425
for the first time,初めて,はじめて,12,初,21,426
happy (lasting happiness),幸せ,しあわせ,13,幸,21,427
to send,送る,おくる,14,送,21,428
[counter for equipment],台,だい,14,台,21,429
typhoon,台風,たいふう,16,台風,21,430
"to miss (a train, bus, etc.)",乗り遅れる,のりおくれる,16,乗遅,21,431
to walk/drive (someone),送る,おくる,19,送,21,432
to become late,遅れる,おくれる,19,遅,21,433
heavy; serious (illness),重い,おもい,20,重,21,434
