,Kana,Kanji,Meaning,Lesson,vocabulary_kanji
707,がいこくじん,外国人,foreigner,15,外国人
708,かぐ,家具,furniture,15,家具
709,かんこう,観光,sightseeing,15,観光
710,けっこんしき,結婚式,wedding,15,結婚式
711,じしん,地震,earthquake,15,地震
712,しめきり,締め切り,deadline,15,締切
714,しゅうかん,習慣,custom,15,習慣
715,ぜいきん,税金,tax,15,税金
716,そつぎょうしき,卒業式,graduation ceremony,15,卒業式
718,ちず,地図,map,15,地図
719,でんち,電池,battery,15,電池
720,にわ,庭,garden,15,庭
721,はっぴょう,発表,presentation,15,発表
722,ばんぐみ,番組,broadcast program,15,番組
725,よてい,予定,schedule,15,予定
726,りょかん,旅館,inn,15,旅館
727,わりびきけん,割引券,discount coupon,15,割引券
728,ひろい,広い,spacious; wide,15,広
729,うる,売る,to sell,15,売
730,おろす,下ろす,to withdraw (money),15,下
732,さがす,探す,to look for,15,探
733,さそう,誘う,to invite,15,誘
734,つきあう,付き合う,(1) to date (someone) (2) to keep company,15,付合
735,つく,着く,to arrive,15,着
736,ほけんにはいる,保険に入る,to buy insurance,15,保険入
737,きをつける,気をつける,to be cautious/careful,15,気
738,しらべる,調べる,to look into (a matter),15,調
739,すてる,捨てる,to throw away,15,捨
740,みえる,見える,to be visible,15,見
742,そつぎょうする,卒業する,to graduate (from ...),15,卒業
743,よやくする,予約する,to reserve,15,予約
744,いちにちじゅう,一日中,all day long,15,一日中
745,さいきん,最近,recently,15,最近
746,えきいん,駅員,station attendant,16,駅員
747,おや,親,parent,16,親
749,さとう,砂糖,sugar,16,砂糖
750,しょうがくきん,奨学金,scholarship,16,奨学金
751,しんせき,親せき,relatives,16,親
752,すいせんじょう,推薦状,letter of recommendation,16,推薦状
753,だいがくいん,大学院,graduate school,16,大学院
754,たいふう,台風,typhoon,16,台風
755,ひ,日,day,16,日
757,みち,道,way; road; directions,16,道
758,めざましどけい,目覚まし時計,alarm clock,16,目覚時計
759,きたない,汚い,dirty,16,汚
760,おこす,起こす,to wake (someone) up,16,起
762,おちこむ,落ち込む,to get depressed,16,落込
763,こまる,困る,to have difficulty,16,困
764,だす,出す,to take (something) out; to hand in (something),16,出
765,つれていく,連れていく,to take (someone) to (a place),16,連
766,なおす,直す,to correct; to fix,16,直
767,みちにまよう,道に迷う,to become lost; to lose one's way,16,道迷
768,やくす,訳す,to translate,16,訳
769,わらう,笑う,to laugh,16,笑
771,あつめる,集める,to collect,16,集
772,いれる,入れる,to put (something) in,16,入
773,のりおくれる,乗り遅れる,"to miss (a train, bus, etc.)",16,乗遅
774,みせる,見せる,to show,16,見
775,あさねぼうする,朝寝坊する,to oversleep,16,朝寝坊
776,あんないする,案内する,to show (someone) around,16,案内
777,せつめいする,説明する,to explain,16,説明
778,むかえにくる,迎えに来る,to come to pick up (someone),16,迎来
780,きょうじゅうに,今日中に,by the end of today,16,今日中
781,このあいだ,この間,the other day,16,間
784,しつれいします,失礼します,Excuse me..; Sorry to interrupt you.,16,失礼
785,じぶんで,自分で,(do something) oneself,16,自分
786,じゅぎょうちゅうに,授業中に,in class; during the class,16,授業中
788,おきゃくさん,お客さん,guest; visitor; client; customer,17,客
789,おとこ,男,man,17,男
790,おゆ,お湯,hot water,17,湯
791,おんな,女,woman,17,女
793,かみ,紙,paper,17,紙
794,きゅうりょう,給料,salary,17,給料
796,さいてい,最低,the lowest; the worst,17,最低
798,ざんぎょう,残業,overtime work,17,残業
800,たからくじ,宝くじ,lottery,17,宝
801,ちがい,違い,difference,17,違
804,ひみつ,秘密,secret,17,秘密
805,りょう,寮,dormitory,17,寮
806,りょこうがいしゃ,旅行会社,travel agency,17,旅行会社
808,すくない,少ない,a little; a few,17,少
809,つよい,強い,strong,17,強
810,えらぶ,選ぶ,to choose; to select,17,選
811,かみをとかす,髪をとかす,to comb one's hair,17,髪
812,おゆをわかす,お湯を沸かす,to boil water,17,湯沸
813,こむ,込む,to get crowded,17,込
814,たからくじにあたる,宝くじに当たる,to win a lottery,17,宝当
815,ぬぐ,脱ぐ,to take off (clothes),17,脱
819,たりる,足りる,to be sufficient; to be enough,17,足
820,なれる,慣れる,to get used to...,17,慣
821,けしょうする,化粧する,to put makeup on,17,化粧
822,しゅうしょくする,就職する,to get a full-time job (at...),17,就職
824,りこんする,離婚する,to get a divorce,17,離婚
826,じぶん,自分,oneself,17,自分
830,たとえば,例えば,for example,17,例
831,〜にくらべて,〜に比べて,compared with ...,17,比
833,まえ,前,before...,17,前
835,あと,後,the rest,18,後
838,ぎゅうにゅう,牛乳,milk,18,牛乳
842,しょうゆ,しょう油,soy sauce,18,油
843,そと,外,outside,18,外
845,にっき,日記,diary,18,日記
847,やちん,家賃,rent,18,家賃
848,ゆうがた,夕方,evening,18,夕方
850,るすばんでんわ,留守番電話,answering machine,18,留守番電話
851,れいぞうこ,冷蔵庫,refrigerator,18,冷蔵庫
853,あかるい,明るい,bright,18,明
854,きぶんがわるい,気分が悪い,to feel sick,18,気分悪
855,はずかしい,恥ずかしい,embarassing; to feel embarassed,18,恥
856,あく,開く,(something) opens,18,開
857,あやまる,謝る,to apologize,18,謝
858,おす,押す,to press; to push,18,押
859,おとす,落とす,to drop (something),18,落
860,おゆがわく,お湯が沸く,water boils,18,湯沸
861,ころぶ,転ぶ,to fall down,18,転
862,こわす,壊す,to break (something),18,壊
863,さく,咲く,to bloom,18,咲
